"player_name","team","gp","min_mpg","orpm","orpm_percentile","drpm","drpm_percentile","rpm","rpm_percentile","wins","wins_percentile","wins_value","wins_value_percentile","salary","salary_percentile","salary_surplus","salary_surplus_percentile","surplus","value"
"Theo Pinson, SG",BKN,33,11.1,-0.68,0.6058558559,-0.46,0.6261261261,-1.14,0.6846846847,-0.03,0.7117117117,-81560.90485,0.7117117117,1445697,0.8333333333,1159824.712,0.8333333333,-1241385.617,0.3445945946
"Deonte Burton, SG",OKC,34,8.4,-0.91,0.6936936937,-0.38,0.5630630631,-1.29,0.740990991,-0.05,0.7432432432,-135934.8414,0.7432432432,1416852,0.8468468468,1136683.525,0.8468468468,-1272618.367,0.3468468468
"Malcolm Miller, SG",TOR,25,5,-0.67,0.5990990991,-0.31,0.5315315315,-0.99,0.6373873874,0,0.6396396396,0,0.6396396396,1588231,0.8130630631,1274174.023,0.8130630631,-1274174.023,0.3490990991
"Omari Spellman, PF",GS,49,18.1,-0.89,0.6846846847,0.02,0.3851351351,-0.87,0.6013513514,0.09,0.5720720721,244682.7146,0.5720720721,1897800,0.6846846847,1522528.814,0.6846846847,-1277846.099,0.3513513514
"Reggie Bullock, SG",NY,29,23.6,0.66,0.213963964,-0.02,0.4054054054,0.64,0.1981981982,0.71,0.3400900901,1930274.748,0.3400900901,4000000,0.4707207207,3209039.548,0.4707207207,-1278764.8,0.3536036036
"Amile Jefferson, PF",ORL,18,4.1,-1.38,0.8783783784,-0.02,0.4054054054,-1.4,0.7702702703,-0.02,0.7027027027,-54373.93657,0.7027027027,1529007,0.8220720721,1226660.983,0.8220720721,-1281034.92,0.3558558559
"Ky Bowman, PG",GS,45,22.6,-1.74,0.9369369369,0.17,0.3310810811,-1.57,0.8085585586,-0.37,0.8671171171,-1005917.827,0.8671171171,350189,0.9954954955,280942.5876,0.9954954955,-1286860.414,0.3581081081
"Ryan Anderson, PF",HOU,2,7,-0.47,0.5112612613,-0.36,0.5540540541,-0.83,0.5968468468,0,0.6396396396,0,0.6396396396,1620564,0.7297297297,1300113.492,0.7297297297,-1300113.492,0.3603603604
"Udonis Haslem, PF",MIA,3,7,-0.76,0.6351351351,-0.42,0.5923423423,-1.17,0.6959459459,0,0.6396396396,0,0.6396396396,1620564,0.7297297297,1300113.492,0.7297297297,-1300113.492,0.3603603604
"Justin Patton, C",OKC,5,4.8,-0.77,0.6373873874,-0.43,0.6036036036,-1.2,0.7072072072,0,0.6396396396,0,0.6396396396,1620564,0.7297297297,1300113.492,0.7297297297,-1300113.492,0.3603603604
